userId,Total_Accepted_Answers,score,posts,Reputation,Age,UpVotes,DownVotes,Location,views
52461,0,3,2,36,,1,0,,4
52572,0,1,1,6,,0,0,,0
52797,0,1,1,18,,2,0,,6
52963,0,0,1,1,,0,0,,0
53372,2,3,2,33,,4,0,,6
54099,1,4,1,1143,,55,4,,153
54367,0,0,1,1,,0,0,,4
55614,0,1,1,6,,0,0,,1
55780,2,10,2,333,,49,0,,41
55937,0,0,1,1,,0,0,,1
55946,4,2,6,176,,47,0,,40
56180,0,6,5,34,,0,0,,2
56307,0,1,1,18,,0,0,,4
56405,1,0,1,53,,9,0,,4
56541,0,2,1,111,,1,0,,2
56707,0,5,2,31,,0,0,,7
57009,1,0,1,3,,0,0,,0
59549,1,1,1,13,,0,0,,2
59724,3,17,4,126,,8,0,,149
60953,1,0,1,142,,14,0,,54
61260,2,1,2,108,,2,0,France,5
61464,1,4,2,26,,1,0,,11
62123,1,0,1,10,,0,0,,0
62255,1,0,1,6,,0,0,,1
62464,0,0,1,101,,0,0,,2
63693,1,0,1,8,,0,0,,1
65029,2,1,2,42,,4,0,,7
67369,1,4,1,23,,0,0,,4
67514,1,3,1,118,,3,0,,0
67778,0,0,1,1,,0,0,,1
68105,0,0,1,1,,0,0,,2
68909,0,1,1,43,,53,0,,1
69143,1,0,2,174,,2,2,,76
69318,0,0,1,6,,0,0,,3
69879,0,6,1,37,,2,0,,14
70279,1,3,1,36,,0,0,,6
70445,1,0,1,6,,0,0,,2
70577,2,3,2,20,,1,0,,1
70688,1,1,1,8,,0,0,,0
70845,0,1,1,19,,0,0,,3
70922,0,3,1,21,,0,0,,4
71156,1,3,1,18,,0,0,,5
71347,0,0,1,1,,0,0,,5
72151,1,2,1,13,,0,0,,3
72394,2,4,2,211,,14,0,,11
72585,1,4,1,184,,18,0,,3
73619,1,7,2,124,,12,0,,16
73794,1,2,1,3369,,1027,15,,290
74130,1,1,1,23,,0,0,New Zealand,6
74164,1,2,1,13,,0,0,,0
74262,0,1,1,11,,0,0,,1
74832,1,2,1,13,26,0,0,greece,2
75066,0,3,1,16,,0,0,,4
75232,0,0,1,1,,0,0,,3
76393,1,1,3,86,,8,0,,12
76504,1,1,1,130,,1,0,India,1
77095,0,0,1,1,,0,0,,2
77240,0,2,1,11,,0,0,,0
77640,1,1,1,8,32,0,0,Groningen,3
77797,1,3,1,18,,0,0,,2
77942,1,1,1,108,,6,0,,0
79303,1,0,2,103,36,0,0,"Cordoba, Spain",6
80180,1,0,1,3,,0,0,,4
80439,0,0,1,1,,0,0,,2
80507,0,2,1,16,29,0,0,"San Michele all'Adige, Italy",1
80848,0,1,1,6,,0,0,,3
81107,0,0,1,101,,0,0,,0
81175,0,0,1,6,,0,0,,4
81477,0,1,1,159,,4,0,,26
81482,0,1,1,6,,0,0,,1
81516,0,1,1,6,,0,0,"Los Angeles, CA",0
82243,0,2,1,11,,0,0,,0
